county_id,amt,cont_cnt,pop,amt_per_cap,cnt_per_cap,urban_rural
1001,92281.0,1087.0,111202,0.8298501825506736,0.009775004046689809,ua
1003,1589437.0,3603.0,436044,3.645129849281265,0.008262927594462944,ua
1005,46475.0,126.0,49762,0.9339455809653953,0.0025320525702343154,uc
1007,85039.0,775.0,44800,1.8981919642857144,0.017299107142857144,uc
1009,199125.0,1132.0,115680,1.7213433609958506,0.009785615491009682,ua
1011,221752.0,1240.0,20276,10.93667390017755,0.061156046557506415,uc
1013,64780.0,152.0,39360,1.6458333333333333,0.003861788617886179,uc
1015,131173.0,1051.0,228554,0.5739256368298082,0.004598475633767075,ua
1017,88238.0,448.0,67230,1.3124795478209133,0.006663691804254053,ua
1019,97890.0,683.0,52064,1.8801859250153656,0.013118469575906577,ua
1021,53631.0,594.0,88306,0.607331325164768,0.006726609743392295,ua
1023,3421.0,108.0,25682,0.13320613659372324,0.004205279962619734,uc
1025,23496.0,149.0,47840,0.4911371237458194,0.0031145484949832774,uc
1027,153869.0,488.0,26550,5.795442561205273,0.018380414312617704,uc
1029,126744.0,500.0,29974,4.22846466938013,0.016681123640488422,uc
1031,142886.0,1054.0,103818,1.3763123928413186,0.0101523820532085,ua
1033,102093.0,710.0,109524,0.9321518571272049,0.0064825974215697016,ua
1035,559490.0,1146.0,24554,22.786104097092124,0.046672639895740005,uc
1037,81085.0,573.0,21430,3.7837144190387306,0.026738217452169855,uc
1039,52690.0,920.0,73972,0.7122965446385119,0.012437138376683069,ua
1041,55331.0,288.0,27648,2.0012659143518516,0.010416666666666666,uc
1043,249563.0,1169.0,166884,1.4954279619376334,0.007004865655185638,ua
1045,282714.0,1261.0,97912,2.887429528556255,0.012878911675790505,ua
1047,31708.0,249.0,76620,0.4138345079613678,0.003249804228660924,ua
1049,117247.0,892.0,142770,0.8212299502696645,0.006247811164810535,ua
1051,226568.0,1831.0,163774,1.3834186134551272,0.011180040787915053,ua
1053,452631.0,657.0,73496,6.158580058778709,0.008939262000653097,ua
1055,137247.0,1034.0,205002,0.6694910293558112,0.005043853230700188,ua
1057,36179.0,212.0,32866,1.1008032617294468,0.006450435100103451,uc
1059,341425.0,475.0,62726,5.443117686445812,0.00757261741542582,ua
1061,355928.0,932.0,52628,6.763091890248537,0.01770920422588736,ua
1063,9682.0,40.0,16466,0.5879995141503704,0.0024292481476982874,uc
1065,10195.0,157.0,29452,0.3461564579655032,0.005330707592014125,uc
1067,217059.0,507.0,34418,6.306554709744901,0.014730664187343832,uc
1069,542770.0,1136.0,209444,2.5914803002234486,0.005423884188613663,ua
1071,123113.0,802.0,103472,1.1898194680686562,0.007750889129426318,ua
1073,4455536.0,18994.0,1318600,3.3789898377066585,0.014404671621416653,ua
1075,33730.0,454.0,27688,1.2182172782432823,0.01639699508812482,uc
1077,164983.0,988.0,184774,0.8928907746760908,0.005347072640090056,ua
1079,94625.0,518.0,65914,1.435582729010529,0.007858725005309949,ua
1081,378498.0,2306.0,327882,1.1543726096583526,0.007033017975979163,ua
1083,266462.0,1715.0,192348,1.3853120385967101,0.008916131178904902,ua
1085,28608.0,207.0,19948,1.4341287347102467,0.010376980148385803,uc
1087,290175.0,1804.0,36878,7.868512392212159,0.04891805412441022,uc
1089,2077227.0,9027.0,733038,2.833723490460249,0.012314504841495258,ua
1091,18689.0,182.0,38132,0.4901132906744991,0.004772894157138361,uc
1093,331937.0,337.0,59526,5.576336390820818,0.005661391660786883,ua
1095,267306.0,1411.0,192218,1.3906397944001083,0.0073406236668782324,ua
1097,1757097.0,4362.0,827514,2.1233441367759336,0.005271209913064915,ua
1099,449655.0,655.0,42134,10.6720225945792,0.015545640100631319,uc
1101,1423296.0,4233.0,451526,3.15219057152855,0.009374875422456293,ua
1103,249785.0,1392.0,238178,1.0487324605966966,0.005844368497510266,ua
1105,31759.0,258.0,18280,1.737363238512035,0.01411378555798687,uc
1107,31379.0,199.0,39876,0.7869144347477179,0.004990470458421105,uc
1109,53304.0,299.0,66676,0.7994480772691823,0.004484372187893695,ua
1111,83204.0,296.0,45450,1.8306710671067106,0.006512651265126512,uc
1113,105340.0,779.0,115562,0.9115453176649764,0.006740970215122618,ua
1115,181900.0,1742.0,177380,1.0254820160108242,0.009820723869658361,ua
1117,1629333.0,9093.0,431414,3.7767272272109853,0.02107720194523126,ua
1119,8441.0,87.0,25382,0.3325585060278938,0.0034276258766054685,uc
1121,77468.0,791.0,159656,0.4852182191712181,0.00495440196422308,ua
1123,175893.0,560.0,80994,2.1716793836580486,0.006914092401906314,ua
1125,980046.0,2504.0,417822,2.345606502290449,0.005992982657686766,ua
1127,74206.0,486.0,127422,0.5823641129475287,0.0038140980364458257,ua
1129,6775.0,68.0,32756,0.20683233606056906,0.0020759555501282207,uc
1131,24069.0,118.0,21254,1.13244565728804,0.00555189611367272,uc
1133,350164.0,630.0,47320,7.399915469146238,0.013313609467455622,uc
2013,376.0,4.0,7030,0.0534850640113798,0.0005689900426742532,uc
2016,9912.0,88.0,11446,0.865979381443299,0.0076882753800454305,uc
2020,2090248.0,12279.0,583076,3.584863722739403,0.02105900431504641,ua
2050,12478.0,125.0,36432,0.34250109793588057,0.0034310496267018005,uc
2060,2850.0,39.0,1754,1.6248574686431014,0.022234891676168756,rural
2068,17434.0,89.0,4118,4.233608547838757,0.021612433220009712,uc
2070,6176.0,39.0,10000,0.6176,0.0039,uc
2090,269828.0,2493.0,197942,1.3631669883097068,0.012594598417718322,ua
2100,8879.0,183.0,4948,1.7944624090541632,0.03698464025869038,uc
