zip,amt,cont_cnt,state_id
6437,287325.0,1439,CT
6438,3187.0,37,CT
6439,5548.0,45,CT
6440,500.0,3,CT
6441,9162.0,238,CT
6442,4747.0,65,CT
6443,53533.0,374,CT
6444,0.0,0,CT
6447,5125.0,29,CT
6450,7935.0,65,CT
6451,6785.0,27,CT
6454,0.0,0,CT
6455,6641.0,84,CT
6456,6000.0,2,CT
6457,44184.0,343,CT
6459,0.0,0,CT
6460,18832.0,240,CT
6461,5896.0,35,CT
6467,0.0,0,CT
6468,48538.0,121,CT
6469,3629.0,91,CT
6470,79085.0,700,CT
6471,16338.0,190,CT
6472,7212.0,166,CT
6473,41175.0,959,CT
6474,0.0,0,CT
6475,49942.0,330,CT
6477,17806.0,104,CT
6478,2875.0,40,CT
6479,9252.0,176,CT
6480,2639.0,114,CT
6481,1127.0,25,CT
6482,39525.0,217,CT
6483,1740.0,75,CT
6484,39400.0,430,CT
6487,0.0,0,CT
6488,69303.0,759,CT
6489,41960.0,499,CT
6491,0.0,0,CT
6492,8460.0,62,CT
6493,0.0,0,CT
6494,0.0,0,CT
6495,0.0,0,CT
6497,0.0,0,CT
6498,15470.0,151,CT
6501,0.0,0,CT
6502,0.0,0,CT
6503,250.0,1,CT
6504,0.0,0,CT
6505,0.0,0,CT
6506,0.0,0,CT
6507,0.0,0,CT
6508,1000.0,1,CT
6509,0.0,0,CT
6510,38997.0,200,CT
6511,83975.0,939,CT
6512,32965.0,323,CT
6513,2139.0,60,CT
6514,18208.0,92,CT
6515,9926.0,178,CT
6516,50428.0,416,CT
6517,40708.0,915,CT
6518,26621.0,238,CT
6519,4661.0,92,CT
6520,555.0,7,CT
6521,0.0,0,CT
6524,2402.0,34,CT
6525,114605.0,525,CT
6530,25.0,1,CT
6531,0.0,0,CT
6532,0.0,0,CT
6533,260.0,2,CT
6534,0.0,0,CT
6535,0.0,0,CT
6536,0.0,0,CT
6537,0.0,0,CT
6538,0.0,0,CT
6540,0.0,0,CT
6601,269.0,6,CT
6602,0.0,0,CT
6604,21386.0,94,CT
6605,7464.0,85,CT
6606,2077.0,62,CT
6607,0.0,0,CT
6608,109.0,3,CT
6610,1141.0,20,CT
6611,27934.0,250,CT
6612,52415.0,320,CT
6614,25564.0,557,CT
6615,6720.0,116,CT
6650,0.0,0,CT
6673,0.0,0,CT
6699,0.0,0,CT
6701,0.0,0,CT
6702,0.0,0,CT
6703,20.0,1,CT
6704,5363.0,70,CT
6705,471.0,8,CT
6706,1045.0,3,CT
6708,6851.0,46,CT
6710,244.0,15,CT
6712,6473.0,102,CT
6716,23695.0,306,CT
6720,0.0,0,CT
6721,500.0,1,CT
6722,225.0,3,CT
6723,100.0,1,CT
6724,0.0,0,CT
6725,0.0,0,CT
6726,0.0,0,CT
6749,0.0,0,CT
6750,700.0,4,CT
6751,1100.0,7,CT
6752,10094.0,69,CT
6753,1995.0,15,CT
6754,62334.0,51,CT
6755,1190.0,6,CT
6756,20503.0,97,CT
6757,16957.0,247,CT
6758,0.0,0,CT
6759,59395.0,459,CT
6762,9415.0,76,CT
6763,2897.0,16,CT
6770,14147.0,211,CT
6776,37525.0,387,CT
6777,21160.0,28,CT
6778,265.0,3,CT
6779,1570.0,33,CT
6781,0.0,0,CT
6782,1725.0,33,CT
6783,19320.0,99,CT
6784,4523.0,40,CT
6785,8846.0,31,CT
6786,5806.0,27,CT
6787,2596.0,29,CT
6790,35011.0,162,CT
6791,9250.0,162,CT
6792,0.0,0,CT
6793,79459.0,546,CT
6794,41244.0,161,CT
6795,9747.0,86,CT
6796,86783.0,751,CT
6798,33313.0,252,CT
6801,25953.0,429,CT
6804,27337.0,286,CT
6807,37896.0,128,CT
6810,33335.0,856,CT
6811,12858.0,188,CT
6812,35596.0,179,CT
6813,2500.0,3,CT
6814,0.0,0,CT
6816,0.0,0,CT
6817,0.0,0,CT
6820,553341.0,1227,CT
6824,117424.0,342,CT
6825,8891.0,92,CT
6828,0.0,0,CT
6829,0.0,0,CT
6830,812360.0,1060,CT
6831,832358.0,929,CT
6832,0.0,0,CT
6836,21200.0,2,CT
6838,1115.0,13,CT
6840,355409.0,436,CT
6842,0.0,0,CT
6850,17345.0,197,CT
6851,21090.0,330,CT
6852,0.0,0,CT
6853,26837.0,140,CT
6854,25358.0,227,CT
6855,15330.0,185,CT
6856,0.0,0,CT
6857,0.0,0,CT
6858,0.0,0,CT
6859,0.0,0,CT
6860,0.0,0,CT
6870,129856.0,186,CT
6875,0.0,0,CT
6876,1150.0,5,CT
6877,119732.0,361,CT
6878,340148.0,573,CT
6879,0.0,0,CT
6880,483090.0,981,CT
6881,490.0,22,CT
6883,67498.0,219,CT
6888,0.0,0,CT
6889,0.0,0,CT
6890,103738.0,196,CT
6896,52963.0,431,CT
6897,61009.0,412,CT
6901,1141307.0,379,CT
6902,130788.0,760,CT
6903,75101.0,391,CT
6904,0.0,0,CT
6905,43428.0,126,CT
6906,8945.0,80,CT
6907,4206.0,40,CT
6910,5600.0,2,CT
6911,0.0,0,CT
6912,0.0,0,CT
6913,0.0,0,CT
6914,0.0,0,CT
6920,0.0,0,CT
6921,0.0,0,CT
6922,0.0,0,CT
6925,0.0,0,CT
6926,10.0,1,CT
6927,0.0,0,CT
6928,250.0,1,CT
7001,13452.0,217,NJ
7002,43550.0,836,NJ
7003,106966.0,565,NJ
7004,37025.0,324,NJ
7005,23786.0,141,NJ
