county_id,amt,cont_cnt
8115,2824.0,17
8117,160417.0,977
8119,359552.0,2886
8121,48655.0,424
8123,1785266.0,13327
8125,74180.0,386
9001,6152570.0,15955
9003,1387645.0,13565
9005,778385.0,5879
9007,451857.0,4436
9009,1249452.0,11821
9011,791419.0,4974
9013,409431.0,4570
9015,102813.0,1765
10001,162155.0,2099
10003,3229484.0,16696
10005,624429.0,4539
11001,68847204.0,166348
12001,861270.0,7463
12003,18632.0,234
12005,863925.0,3623
12007,48457.0,666
12009,1576688.0,10914
12011,11441625.0,35968
12013,29914.0,202
12015,566087.0,4930
12017,236238.0,3173
12019,484680.0,3489
12021,4829693.0,15279
12023,60848.0,758
12027,13831.0,243
12029,22228.0,191
12031,4276696.0,23296
12033,443029.0,4038
12035,562038.0,4831
12037,18594.0,299
12039,41333.0,331
12041,283818.0,699
12043,62944.0,556
12045,27165.0,145
12047,9037.0,123
12049,24567.0,272
12051,268932.0,1394
12053,242006.0,1877
12055,124356.0,1305
12057,4008507.0,31723
12059,107620.0,317
12061,2745257.0,5941
12063,129784.0,530
12065,197862.0,1228
12067,9234.0,74
12069,1387056.0,10548
12071,2944870.0,19023
12073,1091176.0,7014
12075,330075.0,1020
12077,11777.0,232
12079,16732.0,159
12081,1287521.0,9980
12083,1031884.0,7567
12085,3257300.0,9603
12086,16682702.0,42658
12087,818143.0,4565
12089,290318.0,2371
12091,360410.0,2976
12093,21586.0,224
12095,5790920.0,25958
12097,322421.0,4244
12099,26350118.0,44004
12101,784148.0,7694
12103,3776720.0,23945
12105,998001.0,7883
12107,160573.0,1389
12109,1843941.0,9880
12111,737506.0,5930
12113,253178.0,2412
12115,3289332.0,18505
12117,1760346.0,9993
12119,929179.0,5142
12121,53265.0,643
12123,25015.0,232
12125,4153.0,38
12127,1220806.0,8254
12129,19036.0,248
12131,555221.0,2938
12133,40605.0,400
13001,90813.0,508
13003,16705.0,108
13005,40828.0,162
13007,86112.0,272
13009,131489.0,949
13011,106165.0,694
13013,231437.0,2040
13015,399396.0,3223
13017,30593.0,110
13019,98420.0,497
13021,337551.0,1608
13023,55233.0,450
13025,24853.0,225
13027,64786.0,437
13029,109912.0,843
13031,118801.0,791
13033,38077.0,266
13035,134074.0,1234
13037,49212.0,236
13039,42237.0,505
13043,21723.0,154
13045,380889.0,1535
13047,44736.0,782
13049,14842.0,94
13051,865292.0,5695
13053,4203.0,30
13055,69845.0,516
13057,1980178.0,15083
